var1,var2,r,p_raw,n,p_bh,sig,|r|
NDVI,EVI,0.972441303169693,0.0,59300,0.0,True,0.972441303169693
NDVI,ET,0.9337515843889784,0.0,23324,0.0,True,0.9337515843889784
precipitation,ET,0.9268717836284271,0.0,23328,0.0,True,0.9268717836284271
EVI,ET,0.9154306768398799,0.0,23324,0.0,True,0.9154306768398799
NDVI,precipitation,0.8566901779228767,0.0,59260,0.0,True,0.8566901779228767
EVI,precipitation,0.8429403262017227,0.0,59263,0.0,True,0.8429403262017227
LST_day,precipitation,-0.7162730547619094,0.0,59127,0.0,True,0.7162730547619094
NDVI,LST_day,-0.7058744726165216,0.0,59146,0.0,True,0.7058744726165216
LST_day,ET,-0.6922834700491587,0.0,23311,0.0,True,0.6922834700491587
EVI,LST_day,-0.6345846056588524,0.0,59146,0.0,True,0.6345846056588524
precipitation,gHM,0.5572690734117504,0.0,59920,0.0,True,0.5572690734117504
EVI,gHM,0.5503895807240058,0.0,59303,0.0,True,0.5503895807240058
gHM,ET,0.543620403174469,0.0,23340,0.0,True,0.543620403174469
sst,NDVI,0.5413629975332683,6.247347489888441e-247,3250,1.0412245816480736e-246,True,0.5413629975332683
sst,precipitation,0.5404727815380793,4.9541064134893784e-306,4050,1.0133399482137366e-305,True,0.5404727815380793
sst,ET,0.5324833985854863,3.2286849532880035e-86,1164,4.402752209029096e-86,True,0.5324833985854863
sst,gHM,0.522034138231188,3.712254707408809e-295,4240,6.960477576391517e-295,True,0.522034138231188
sst,EVI,0.49707887536449497,1.2512664590987687e-202,3253,2.010963952123021e-202,True,0.49707887536449497
NDVI,gHM,0.49063830243006323,0.0,59300,0.0,True,0.49063830243006323
chlor_a,LST_day,-0.4862487008253886,1.3151151579886468e-144,2433,1.9090381325641646e-144,True,0.4862487008253886
chlor_a,precipitation,0.3760810537185037,3.7631503008369796e-108,3203,5.291930110552003e-108,True,0.3760810537185037
t2m_anomaly,precip_anomaly,-0.35913573957655986,0.0,59250,0.0,True,0.35913573957655986
precipitation,precip_anomaly,0.2900582230630657,0.0,60130,0.0,True,0.2900582230630657
precipitation,t2m_anomaly,-0.26653414358441585,0.0,59250,0.0,True,0.26653414358441585
LST_day,gHM,-0.2645954602496613,0.0,59167,0.0,True,0.2645954602496613
t2m_anomaly,ET,-0.2216394914468857,5.2407617737952757e-256,23192,9.070549223876439e-256,True,0.2216394914468857
EVI,t2m_anomaly,-0.20373857458445707,0.0,58814,0.0,True,0.20373857458445707
NDVI,t2m_anomaly,-0.2036543577959495,0.0,58812,0.0,True,0.2036543577959495
chlor_a,precip_anomaly,0.20125653847180328,1.265637048425205e-30,3203,1.582046310531506e-30,True,0.20125653847180328
ET,precip_anomaly,0.17341611189860603,6.532568398483913e-157,23328,9.79885259772587e-157,True,0.17341611189860603
LST_day,precip_anomaly,-0.1622850759507626,0.0,59127,0.0,True,0.1622850759507626
LST_day,t2m_anomaly,0.15196905105275624,1.898194693817032e-300,58747,3.713859183555063e-300,True,0.15196905105275624
sst,t2m_anomaly,0.1492396116423907,4.403424458647596e-19,3540,5.355516233490319e-19,True,0.1492396116423907
gHM,t2m_anomaly,-0.14838592913859372,7.110373053914523e-289,59260,1.2798671497046142e-288,True,0.14838592913859372
sst,chlor_a,-0.12368307903592479,1.243347160315716e-171,50596,1.9293318004899038e-171,True,0.12368307903592479
sst,precip_anomaly,-0.10844880448850036,4.518782329856175e-12,4050,5.213979611372509e-12,True,0.10844880448850036
NDVI,precip_anomaly,0.07948001061848411,1.1750877565967483e-83,59260,1.5552632072604022e-83,True,0.07948001061848411
chlor_a,ET,0.07225749040207566,0.09531057060984402,534,0.09974362040565071,False,0.07225749040207566
EVI,precip_anomaly,0.07222528046951206,2.2494769867551993e-69,59263,2.8921846972566846e-69,True,0.07222528046951206
chlor_a,gHM,0.04882452199658079,0.004625238802749266,3363,0.005203393653092924,True,0.04882452199658079
gHM,precip_anomaly,0.03458504806094829,2.4904519354586845e-17,59920,2.9492193972537056e-17,True,0.03458504806094829
chlor_a,NDVI,0.033971470965545,0.08681672656488135,2542,0.09301792131951572,False,0.033971470965545
sst,LST_day,0.03151797844312561,0.0770882663840016,3147,0.08460907286048956,False,0.03151797844312561
chlor_a,EVI,-0.008991127895262716,0.6503460375064052,2544,0.6651266292679144,False,0.008991127895262716
chlor_a,t2m_anomaly,0.004007529936217169,0.8339179718704093,2740,0.8339179718704093,False,0.004007529936217169
