var1,var2,r,p_raw,n,p_bh,sig,|r|
NDVI,EVI,0.9723137778344549,0.0,35579,0.0,True,0.9723137778344549
NDVI,ET,0.9337515843889784,0.0,23324,0.0,True,0.9337515843889784
precipitation,ET,0.9268717836284271,0.0,23328,0.0,True,0.9268717836284271
EVI,ET,0.9154306768398799,0.0,23324,0.0,True,0.9154306768398799
NDVI,precipitation,0.868120564943395,0.0,35555,0.0,True,0.868120564943395
EVI,precipitation,0.8531935091895089,0.0,35557,0.0,True,0.8531935091895089
chlor_a,NO2,0.7708818229490615,0.0,25584,0.0,True,0.7708818229490615
NDVI,LST_day,-0.7078101790512039,0.0,35487,0.0,True,0.7078101790512039
LST_day,precipitation,-0.7071726817618355,0.0,35477,0.0,True,0.7071726817618355
NO2,SO2,0.7052347627578593,0.0,72082,0.0,True,0.7052347627578593
LST_day,ET,-0.6922834700491587,0.0,23311,0.0,True,0.6922834700491587
EVI,LST_day,-0.6375350102410169,0.0,35487,0.0,True,0.6375350102410169
chlor_a,SO2,0.6209231682354394,0.0,25584,0.0,True,0.6209231682354394
sst,precipitation,0.5703004668232579,1.0915264489175852e-209,2430,2.5040900886932837e-209,True,0.5703004668232579
precipitation,gHM,0.5633231004817103,0.0,35952,0.0,True,0.5633231004817103
EVI,gHM,0.5496571030395422,0.0,35581,0.0,True,0.5496571030395422
gHM,ET,0.543620403174469,0.0,23340,0.0,True,0.543620403174469
sst,NDVI,0.535336948959987,5.705631778925148e-145,1949,1.1125981968904039e-144,True,0.535336948959987
sst,ET,0.5324833985854863,3.2286849532880035e-86,1164,5.036748527129285e-86,True,0.5324833985854863
sst,gHM,0.523490402150001,4.992379943276544e-179,2544,1.0816823210432512e-178,True,0.523490402150001
NDVI,gHM,0.4915574043173355,0.0,35579,0.0,True,0.4915574043173355
sst,EVI,0.48594520523205814,3.673431738137635e-116,1951,6.367281679438568e-116,True,0.48594520523205814
chlor_a,LST_day,-0.4659346068567934,1.7298794169070936e-65,1196,2.4987147133102463e-65,True,0.4659346068567934
sst,t2m_anomaly,0.4070608380731952,1.4175813312547282e-85,2124,2.1680655654484078e-85,True,0.4070608380731952
ET,CO,0.37699941471006965,0.0,23340,0.0,True,0.37699941471006965
