year,sst,ONI,sst_residual
2015,26.188782794960396,0.9,0.34776178560966287
2016,25.912789808838994,0.6,0.13030240058852982
2017,25.688428117910014,-0.1,0.042519112226845124
2018,25.72853760622703,0.2,0.024094999443590837
2019,25.564911201696546,0.3,-0.15904260545364934
2020,25.69319376685115,0.5,-0.06978244103255804
2021,25.460406339215446,-0.9,-0.029413063533674233
2022,25.499767533010342,-1.0,0.02945933062797934
2023,25.674826169104627,1.2,-0.22472844134637526
2024,25.652293930386648,0.4,-0.09117107713030492
